geography	year	topic	category	sub_category	value_description	value
Melbourne (CBD)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	37
Melbourne (CBD)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	127
Melbourne (CBD)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	5985
Melbourne (CBD)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	753
Melbourne (CBD)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	39
Melbourne (CBD)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	2773
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Pre-school	Count of persons attending an educational institution	508
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Government	Count of persons attending an educational institution	1213
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Catholic	Count of persons attending an educational institution	319
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Other Non Government	Count of persons attending an educational institution	349
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Government	Count of persons attending an educational institution	1072
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	263
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	785
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	19862
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	3979
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	92
City of Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	11319
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Pre-school	Count of persons attending an educational institution	88
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Government	Count of persons attending an educational institution	297
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Catholic	Count of persons attending an educational institution	72
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Other Non Government	Count of persons attending an educational institution	66
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Government	Count of persons attending an educational institution	285
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	53
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	83
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	2020
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	516
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	6
North Melbourne	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	1437
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Pre-school	Count of persons attending an educational institution	29
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Government	Count of persons attending an educational institution	117
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Catholic	Count of persons attending an educational institution	20
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Other Non Government	Count of persons attending an educational institution	16
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Government	Count of persons attending an educational institution	81
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	16
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	49
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	2531
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	208
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	0
Parkville	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	443
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Pre-school	Count of persons attending an educational institution	44
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Government	Count of persons attending an educational institution	75
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Catholic	Count of persons attending an educational institution	8
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Other Non Government	Count of persons attending an educational institution	56
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Government	Count of persons attending an educational institution	24
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	3
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	230
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	412
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	271
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	3
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	684
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Pre-school	Count of persons attending an educational institution	45
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Government	Count of persons attending an educational institution	64
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Catholic	Count of persons attending an educational institution	13
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Other Non Government	Count of persons attending an educational institution	50
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Government	Count of persons attending an educational institution	69
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	25
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	73
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	1637
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	492
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	15
Southbank	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	1288
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Pre-school	Count of persons attending an educational institution	31
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Government	Count of persons attending an educational institution	74
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Catholic	Count of persons attending an educational institution	0
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Infants/Primary - Other Non Government	Count of persons attending an educational institution	3
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Government	Count of persons attending an educational institution	61
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Catholic	Count of persons attending an educational institution	3
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Secondary - Other Non Government	Count of persons attending an educational institution	14
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Full-time	Count of persons attending an educational institution	494
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Part-time	Count of persons attending an educational institution	141
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Tertiary - Status not stated	Count of persons attending an educational institution	0
West Melbourne (Residential)	2011	Residents: Education	Education institution type attending - detailed (tertiary combined)	Type of Educational Institution not stated	Count of persons attending an educational institution	771
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	1307
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	315
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	3483
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	728
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	649
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	111
Carlton	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	1695
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	547
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	124
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	1498
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	435
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	351
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	38
Docklands	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	943
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	570
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	224
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	1573
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	375
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	218
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	56
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	541
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	152806
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	75899
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	540963
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	285846
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	487758
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	33998
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	301148
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	798
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	361
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	2661
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	664
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	749
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	69
Kensington	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	733
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	2067
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	392
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	5542
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	1491
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	879
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	216
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	2933
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	9225
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	2539
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	25532
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	6360
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	5143
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	766
City of Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	11499
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	1068
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	345
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	2964
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	661
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	727
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	105
North Melbourne	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	1369
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	672
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	151
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	1320
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	255
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	268
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	24
Parkville	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	457
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	640
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	203
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	1894
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	512
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	328
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	66
South Yarra (inc. Melbourne Remainder)	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	686
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	1244
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	315
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	3616
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	906
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	722
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	94
Southbank	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	1294
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	324
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	110
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	928
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	284
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Certificate Level	Count of persons aged 15 years and over with a qualification	226
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	34
West Melbourne (Residential)	2011	Residents: Education	Non-school qualification: level of education - overview	Level of education not stated	Count of persons aged 15 years and over with a qualification	751
Kensington	2011	Residents: Ethnicity	Language spoken at home - detailed	Assyrian	Count of persons	0
Carlton	2011	Households: Size and composition	Household composition - overview	Family	Count of occupied private dwellings	2083
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	1307
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	315
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	3483
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	728
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate Level, nfd	Count of persons aged 15 years and over with a qualification	87
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	492
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate I and II Level	Count of persons aged 15 years and over with a qualification	70
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	111
Carlton	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education not stated	Count of persons aged 15 years and over with a qualification	1695
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	547
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	124
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	1498
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	435
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate Level, nfd	Count of persons aged 15 years and over with a qualification	33
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	297
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate I and II Level	Count of persons aged 15 years and over with a qualification	21
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	38
Docklands	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education not stated	Count of persons aged 15 years and over with a qualification	943
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	570
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	224
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	1573
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	375
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate Level, nfd	Count of persons aged 15 years and over with a qualification	22
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	189
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate I and II Level	Count of persons aged 15 years and over with a qualification	7
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	56
East Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education not stated	Count of persons aged 15 years and over with a qualification	541
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	152806
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	75899
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	540963
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	285846
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate Level, nfd	Count of persons aged 15 years and over with a qualification	44319
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	414092
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate I and II Level	Count of persons aged 15 years and over with a qualification	29347
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	33998
Greater Melbourne	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education not stated	Count of persons aged 15 years and over with a qualification	301148
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	798
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	361
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	2661
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	664
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate Level, nfd	Count of persons aged 15 years and over with a qualification	58
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	644
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate I and II Level	Count of persons aged 15 years and over with a qualification	47
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education inadequately described	Count of persons aged 15 years and over with a qualification	69
Kensington	2011	Residents: Education	Non-school qualification: level of education - detailed	Level of education not stated	Count of persons aged 15 years and over with a qualification	733
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Postgraduate Degree Level	Count of persons aged 15 years and over with a qualification	2067
Parkville	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	215
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Graduate Diploma and Graduate Certificate Level	Count of persons aged 15 years and over with a qualification	392
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Bachelor Degree Level	Count of persons aged 15 years and over with a qualification	5542
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Advanced Diploma and Diploma Level	Count of persons aged 15 years and over with a qualification	1491
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate Level, nfd	Count of persons aged 15 years and over with a qualification	117
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate III and IV Level	Count of persons aged 15 years and over with a qualification	683
Melbourne (CBD)	2011	Residents: Education	Non-school qualification: level of education - detailed	Certificate I and II Level	Count of persons aged 15 years and over with a qualification	79
